AgencyCd,SiteNo,CasingDepthFrom,CasingDepthFromUnit,CasingDepthTo,CasingDepthToUnit,CasingMaterial,CasingDiameter,CasingDiameterUnit
"USGS",385607104230801,-2.00,feet,255.,feet,"PVC or Plastic",4.00,"in"
"USGS",385344104242401,-1,feet,60,feet,"PVC or Plastic",4.5,"in"
"USGS",390010104385101,-1,feet,41,feet,"Steel",6.62,"in"
"USGS",390010104385101,15,feet,280,feet,"Steel",4.5,"in"
"USGS",390148104285401,-1,feet,20,feet,"Steel",6.62,"in"
"USGS",390148104285401,15,feet,100,feet,"PVC or Plastic",4.5,"in"
"USGS",385208104324401,-1,feet,19,feet,"Steel",6,"in"
"USGS",385208104324401,7,feet,140,feet,"PVC or Plastic",4,"in"
"USGS",384824104332601,182,feet,195,feet,"Steel",4.5,"in"
"USGS",384824104332601,-2,feet,110,feet,"Steel",4.5,"in"
"USGS",384824104332601,220,feet,240,feet,"Steel",4.5,"in"
"USGS",384506104241302,-1.40,feet,350.,feet,"PVC or Plastic",4.00,"in"
"USGS",384348104232901,-2.00,feet,225.00,feet,"PVC or Plastic",4.00,"in"
