"AgencyCd","SiteNo","AgencyNm","SiteName","DecLatVa","DecLongVa","HorzDatum","HorzMethod","HorzAcy","AltVa","AltUnits","AltUnitsNm","AltDatumCd","AltMethod","AltAcy","WellDepth","WellDepthUnits","WellDepthUnitsNm","NatAquiferCd","NatAqfrDesc","CountryCd","CountryNm","StateCd","StateNm","CountyCd","CountyNm","LocalAquiferName","SiteType","AquiferType","QwSnFlag","QwSnDesc","QwBaselineFlag","QwBaselineDesc","WlSnFlag","WlSnDesc","WlBaselineFlag","WlBaselineDesc","WlWellChars","WlWellCharsDesc","WlWellType","WlWellTypeDesc","WlWellPurpose","WlWellPurposeDesc","Link"
"USGS","373531105505901","U.S. Geological Survey","NA03901026ABC","37.6023356630508","-105.847743029468","NAD83","Global positioning system (GPS), Standard Positioning Service (SPS) or Precise Positioning Service (PPS) NOTE after October, 2014 only use for mapping grade GPS units and use new codes W,X,Y, or Z that indicate the quality of the GNSS survey.","Accurate to +/- 1 second","7547","1","Feet","NGVD29","Altimeter","+/- 1 ft","50","1","Feet","S100RIOGRD","Rio Grande aquifer system","US","United States of America","08","Colorado","003","Alamosa County","Cenozoic Erathem","WELL","UNCONFINED","0","No","0","No","1","Yes","1","Yes","2","Suspected / Anticipated Changes","1","Surveillance","2","Other","https://waterdata.usgs.gov/monitoring-location/373531105505901"
"USGS","373535105430001","U.S. Geological Survey","NA03901125AAA","37.6036417732612","-105.715073186038","NAD83","Global positioning system (GPS), Standard Positioning Service (SPS) or Precise Positioning Service (PPS) NOTE after October, 2014 only use for mapping grade GPS units and use new codes W,X,Y, or Z that indicate the quality of the GNSS survey.","Accurate to +/- 1 second","7522","1","Feet","NGVD29","Altimeter","+/- 2 ft","20","1","Feet","S100RIOGRD","Rio Grande aquifer system","US","United States of America","08","Colorado","003","Alamosa County","Cenozoic Erathem","WELL","UNCONFINED","0","No","0","No","1","Yes","1","Yes","1","Background","1","Surveillance","1","Dedicated Monitoring/Observation","https://waterdata.usgs.gov/monitoring-location/373535105430001"
"USGS","373713105461501","U.S. Geological Survey","NA03901116AAA","37.6344464689411","-105.764768873804","NAD83","Global positioning system (GPS), Standard Positioning Service (SPS) or Precise Positioning Service (PPS) NOTE after October, 2014 only use for mapping grade GPS units and use new codes W,X,Y, or Z that indicate the quality of the GNSS survey.","Accurate to +/- 1 second","7522","1","Feet","NGVD29","Altimeter","+/- 2 ft","16","1","Feet","S100RIOGRD","Rio Grande aquifer system","US","United States of America","08","Colorado","003","Alamosa County","Cenozoic Erathem","WELL","UNCONFINED","0","No","0","No","1","Yes","1","Yes","2","Suspected / Anticipated Changes","1","Surveillance","1","Dedicated Monitoring/Observation","https://waterdata.usgs.gov/monitoring-location/373713105461501"
"USGS","373735105425801","U.S. Geological Survey","NA03901207CDC","37.6376133553184","-105.705600636718","NAD83","Global positioning system (GPS), Standard Positioning Service (SPS) or Precise Positioning Service (PPS) NOTE after October, 2014 only use for mapping grade GPS units and use new codes W,X,Y, or Z that indicate the quality of the GNSS survey.","Accurate to +/- 1 second","7523","1","Feet","NGVD29","Altimeter","+/- 2 ft","18","1","Feet","S100RIOGRD","Rio Grande aquifer system","US","United States of America","08","Colorado","003","Alamosa County","Cenozoic Erathem","WELL","UNCONFINED","0","No","0","No","1","Yes","1","Yes","1","Background","1","Surveillance","1","Dedicated Monitoring/Observation","https://waterdata.usgs.gov/monitoring-location/373735105425801"
"USGS","373750105392801","U.S. Geological Survey","NA03901210BCD","37.6418913227255","-105.653238062129","NAD83","Global positioning system (GPS), Standard Positioning Service (SPS) or Precise Positioning Service (PPS) NOTE after October, 2014 only use for mapping grade GPS units and use new codes W,X,Y, or Z that indicate the quality of the GNSS survey.","Accurate to +/- 1 second","7578","1","Feet","NGVD29","Altimeter","+/- 2 ft","22","1","Feet","S100RIOGRD","Rio Grande aquifer system","US","United States of America","08","Colorado","003","Alamosa County","Cenozoic Erathem","WELL","UNCONFINED","0","No","0","No","1","Yes","1","Yes","1","Background","1","Surveillance","1","Dedicated Monitoring/Observation","https://waterdata.usgs.gov/monitoring-location/373750105392801"
"USGS","373820105541501","U.S. Geological Survey","NA03901008ABB","37.6472513608665","-105.900882960732","NAD83","Global positioning system (GPS), Standard Positioning Service (SPS) or Precise Positioning Service (PPS) NOTE after October, 2014 only use for mapping grade GPS units and use new codes W,X,Y, or Z that indicate the quality of the GNSS survey.","Accurate to +/- 1 second","7564","1","Feet","NGVD29","Altimeter","+/- 2 ft","104","1","Feet","S100RIOGRD","Rio Grande aquifer system","US","United States of America","08","Colorado","003","Alamosa County","Cenozoic Erathem","WELL","CONFINED","0","No","0","No","1","Yes","1","Yes","2","Suspected / Anticipated Changes","1","Surveillance","2","Other","https://waterdata.usgs.gov/monitoring-location/373820105541501"
"USGS","372610105345501","U.S. Geological Survey","CC03007318ADA  RG63A","37.4361184581174","-105.582514336201","NAD83","Interpolated from map","Accurate to +/- 5 seconds","7670","1","Feet","NGVD29","Altimeter","+/- 1 ft","193","1","Feet","S100RIOGRD","Rio Grande aquifer system","US","United States of America","08","Colorado","023","Costilla County","Cenozoic Erathem","WELL","UNCONFINED","0","No","0","No","1","Yes","1","Yes","2","Suspected / Anticipated Changes","2","Trend","2","Other","https://waterdata.usgs.gov/monitoring-location/372610105345501"
"USGS","372642105445401","U.S. Geological Survey","NA03701114BBC","37.4568392229535","-105.747435280128","NAD83","Global positioning system (GPS), Standard Positioning Service (SPS) or Precise Positioning Service (PPS) NOTE after October, 2014 only use for mapping grade GPS units and use new codes W,X,Y, or Z that indicate the quality of the GNSS survey.","Accurate to +/- 1 second","7529","1","Feet","NGVD29","Altimeter","+/- 2 ft","23","1","Feet","S100RIOGRD","Rio Grande aquifer system","US","United States of America","08","Colorado","003","Alamosa County","Cenozoic Erathem","WELL","UNCONFINED","0","No","0","No","1","Yes","0","No","1","Background","1","Surveillance","1","Dedicated Monitoring/Observation","https://waterdata.usgs.gov/monitoring-location/372642105445401"
"USGS","372854105513001","U.S. Geological Survey","NA03801035CCC","37.4880321720438","-105.857132406697","NAD83","Global positioning system (GPS), Standard Positioning Service (SPS) or Precise Positioning Service (PPS) NOTE after October, 2014 only use for mapping grade GPS units and use new codes W,X,Y, or Z that indicate the quality of the GNSS survey.","Accurate to +/- 1 second","7539","1","Feet","NGVD29","Altimeter","+/- 5. ft","12","1","Feet","S100RIOGRD","Rio Grande aquifer system","US","United States of America","08","Colorado","003","Alamosa County","Cenozoic Erathem","WELL","UNCONFINED","0","No","0","No","1","Yes","1","Yes","1","Background","1","Surveillance","1","Dedicated Monitoring/Observation","https://waterdata.usgs.gov/monitoring-location/372854105513001"
"USGS","373110105533401","U.S. Geological Survey","NA03801021BCB","37.52725341129","-105.894216553013","NAD83","Global positioning system (GPS), Standard Positioning Service (SPS) or Precise Positioning Service (PPS) NOTE after October, 2014 only use for mapping grade GPS units and use new codes W,X,Y, or Z that indicate the quality of the GNSS survey.","Accurate to +/- 1 second","7554","1","Feet","NGVD29","Altimeter","+/- 2 ft","45","1","Feet","S100RIOGRD","Rio Grande aquifer system","US","United States of America","08","Colorado","003","Alamosa County","Cenozoic Erathem","WELL","UNCONFINED","0","No","0","No","1","Yes","1","Yes","2","Suspected / Anticipated Changes","1","Surveillance","2","Other","https://waterdata.usgs.gov/monitoring-location/373110105533401"
